"Weeknumber";"2004-2009";"1996-2003";"1991-1995";"1986-1990";"1981-1985";"1976-1980";"1971-1975";"1966-1970";"1961-1965";"1956-1960";"1951-1955";"1946-1950";"1941-1945";"1936-1940";"1931-1935";"<1931"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
"6";0;1;1;1;1;1;1;2;2;2;0;0;0;0;1;1
"7";0;1;1;1;2;2;2;2;3;2;1;0;0;0;1;1
"8";0;2;2;2;2;2;3;3;4;3;1;1;1;2;5;10
"9";0;2;2;2;2;3;3;4;4;4;1;1;2;4;9;26
"10";0;2;2;2;2;3;3;4;4;4;1;1;2;5;27;45
"11";0;2;2;2;2;3;3;4;4;4;1;1;2;16;49;54
"12";0;2;2;2;2;3;3;4;4;4;2;1;3;26;60;60
"13";0;2;2;3;3;3;3;4;5;4;2;1;3;41;69;66
"14";0;2;3;3;3;3;3;4;5;5;2;2;5;60;74;68
"15";0;2;3;3;3;3;4;4;5;5;2;2;9;71;77;70
"16";0;2;3;3;3;3;4;4;5;6;3;3;17;78;78;71
"17";0;3;3;3;3;4;4;5;6;6;4;4;24;80;79;72
"18";0;3;4;4;4;5;5;6;7;8;6;9;40;82;80;73
"19";0;4;5;5;5;6;6;7;9;11;7;20;54;83;81;74
"20";0;4;5;5;6;7;7;8;10;17;10;40;76;85;82;75
"21";0;5;6;6;7;8;8;16;12;20;18;65;86;86;83;75
"22";0;6;7;7;7;12;10;25;14;23;41;83;88;86;83;76
"23";0;6;8;8;9;15;12;30;22;28;66;87;89;87;84;77
"24";0;8;9;10;12;19;17;34;38;35;79;89;90;88;85;78
"25";0;13;13;14;16;24;22;41;52;47;83;90;90;89;86;79
"26";0;20;18;18;19;27;26;48;65;61;86;90;91;89;86;80
"27";2;26;21;20;22;31;35;56;73;69;88;91;91;89;87;80
"28";3;28;23;22;29;45;57;72;82;76;89;91;91;90;87;81
"29";4;29;25;26;41;61;71;79;84;80;89;91;92;90;87;81
"30";5;32;31;41;56;69;75;81;85;83;90;92;92;90;88;82
"31";9;41;49;56;64;72;78;82;86;85;90;92;92;90;88;82
"32";19;57;58;61;68;75;79;83;86;86;90;92;92;90;88;82
"33";28;59;59;62;69;75;80;84;87;86;91;92;92;90;88;82
"34";37;61;61;64;70;76;80;84;87;87;91;92;92;90;88;82
"35";44;63;62;65;71;77;81;85;87;87;91;92;92;90;88;82
"36";47;64;63;65;71;77;81;85;87;87;91;92;92;90;88;82
"37";49;65;64;66;72;78;82;85;88;87;91;93;92;91;88;82
"38";51;66;65;67;73;78;82;85;88;88;91;93;93;91;88;83
"39";53;67;66;68;73;78;82;86;88;88;91;93;93;91;88;83
"40";55;68;66;68;74;79;83;86;88;88;91;93;93;91;88;83